county_orig	count		county_clean	state	count		state	match	fipscode	error	err2	
EL PASO(TX)	34		EL PASO	TX	34		TX	EL PASO-TX	48141	FALSE	0	
HAMPTON CITY(VA)	34		HAMPTON CITY	VA	34		VA	HAMPTON CITY-VA	51650	FALSE	0	
LORAIN(OH)	34		LORAIN	OH	34		OH	LORAIN-OH	39093	FALSE	0	
MIAMI(OH)	34		MIAMI	OH	34		OH	MIAMI-OH	39109	FALSE	0	
OUTAGAMIE(WI)	34		OUTAGAMIE	WI	34		WI	OUTAGAMIE-WI	55087	FALSE	0	
CALHOUN(AL)	33		CALHOUN	AL	33		AL	CALHOUN-AL	01015	FALSE	0	
MARION(IL)	33		MARION	IL	33		IL	MARION-IL	17121	FALSE	0	
MONROE(IN)	33		MONROE	IN	33		IN	MONROE-IN	18105	FALSE	0	
PIKE(MS)	33		PIKE	MS	33		MS	PIKE-MS	28113	FALSE	0	
SCOTT(MS)	33		SCOTT	MS	33		MS	SCOTT-MS	28123	FALSE	0	
WHITESIDE(IL)	33		WHITESIDE	IL	33		IL	WHITESIDE-IL	17195	FALSE	0	
LINCOLN(WI)	32		LINCOLN	WI	32		WI	LINCOLN-WI	55069	FALSE	0	
MACOMB(MI)	32		MACOMB	MI	32		MI	MACOMB-MI	26099	FALSE	0	
PERRY(KY)	32		PERRY	KY	32		KY	PERRY-KY	21193	FALSE	0	
BIBB(GA)	31		BIBB	GA	31		GA	BIBB-GA	13021	FALSE	0	
BLACK HAWK(IA)	31		BLACK HAWK	IA	31		IA	BLACK HAWK-IA	19013	FALSE	0	
CLARK(IN)	31		CLARK	IN	31		IN	CLARK-IN	18019	FALSE	0	
JACKSON(MO)	31		JACKSON	MO	31		MO	JACKSON-MO	29095	FALSE	0	
JEFFERSON(IL)	31		JEFFERSON	IL	31		IL	JEFFERSON-IL	17081	FALSE	0	
JOHNSON(IA)	31		JOHNSON	IA	31		IA	JOHNSON-IA	19103	FALSE	0	
PONTOTOC(MS)	31		PONTOTOC	MS	31		MS	PONTOTOC-MS	28115	FALSE	0	
ROWAN(KY)	31		ROWAN	KY	31		KY	ROWAN-KY	21205	FALSE	0	
SALINE(IL)	31		SALINE	IL	31		IL	SALINE-IL	17165	FALSE	0	
VERNON(LA)	31		VERNON	LA	31		LA	VERNON-LA	22115	FALSE	0	
DUBUQUE(IA)	30		DUBUQUE	IA	30		IA	DUBUQUE-IA	19061	FALSE	0	
GALLIA(OH)	30		GALLIA	OH	30		OH	GALLIA-OH	39053	FALSE	0	
ITAWAMBA(MS)	30		ITAWAMBA	MS	30		MS	ITAWAMBA-MS	28057	FALSE	0	
DENVER(CO)	29		DENVER	CO	29		CO	DENVER-CO	08031	FALSE	0	
FOND DU LAC(WI)	29		FOND DU LAC	WI	29		WI	FOND DU LAC-WI	55039	FALSE	0	
JOHNSON(KS)	29		JOHNSON	KS	29		KS	JOHNSON-KS	20091	FALSE	0	
PINELLAS(FL)	29		PINELLAS	FL	29		FL	PINELLAS-FL	12103	FALSE	0	
RICHLAND(OH)	29		RICHLAND	OH	29		OH	RICHLAND-OH	39139	FALSE	0	
SAUK(WI)	29		SAUK	WI	29		WI	SAUK-WI	55111	FALSE	0	
KANAWHA(WV)	28		KANAWHA	WV	28		WV	KANAWHA-WV	54039	FALSE	0	
PERRY(IL)	28		PERRY	IL	28		IL	PERRY-IL	17145	FALSE	0	
SCOTT(IA)	28		SCOTT	IA	28		IA	SCOTT-IA	19163	FALSE	0	
TATE(MS)	28		TATE	MS	28		MS	TATE-MS	28137	FALSE	0	
UNION(MS)	28		UNION	MS	28		MS	UNION-MS	28145	FALSE	0	
WHITLEY(KY)	28		WHITLEY	KY	28		KY	WHITLEY-KY	21235	FALSE	0	
BERNALILLO(NM)	27		BERNALILLO	NM	27		NM	BERNALILLO-NM	35001	FALSE	0	
JEFFERSON DAVIS(MS)	27		JEFFERSON DAVIS	MS	27		MS	JEFFERSON DAVIS-MS	28065	FALSE	0	
RICHMOND(GA)	27		RICHMOND	GA	27		GA	RICHMOND-GA	13245	FALSE	0	
RIVERSIDE(CA)	27		RIVERSIDE	CA	27		CA	RIVERSIDE-CA	06065	FALSE	0	
SHAWNEE(KS)	27		SHAWNEE	KS	27		KS	SHAWNEE-KS	20177	FALSE	0	
ALAMEDA(CA)	26		ALAMEDA	CA	26		CA	ALAMEDA-CA	06001	FALSE	0	
CALLOWAY(KY)	26		CALLOWAY	KY	26		KY	CALLOWAY-KY	21035	FALSE	0	
DODGE(WI)	26		DODGE	WI	26		WI	DODGE-WI	55027	FALSE	0	
EAU CLAIRE(WI)	26		EAU CLAIRE	WI	26		WI	EAU CLAIRE-WI	55035	FALSE	0	
HENRY(TN)	26		HENRY	TN	26		TN	HENRY-TN	47079	FALSE	0	
LUCAS(OH)	26		LUCAS	OH	26		OH	LUCAS-OH	39095	FALSE	0	
PRENTISS(MS)	26		PRENTISS	MS	26		MS	PRENTISS-MS	28117	FALSE	0	
WAYNE(IN)	26		WAYNE	IN	26		IN	WAYNE-IN	18177	FALSE	0	
BARTHOLOMEW(IN)	25		BARTHOLOMEW	IN	25		IN	BARTHOLOMEW-IN	18005	FALSE	0	
BOYD(KY)	25		BOYD	KY	25		KY	BOYD-KY	21019	FALSE	0	
GREENE(IN)	25		GREENE	IN	25		IN	GREENE-IN	18055	FALSE	0	
GREENE(OH)	25		GREENE	OH	25		OH	GREENE-OH	39057	FALSE	0	
MARINETTE(WI)	25		MARINETTE	WI	25		WI	MARINETTE-WI	55075	FALSE	0	
SCOTT(IN)	25		SCOTT	IN	25		IN	SCOTT-IN	18143	FALSE	0	
SEDGWICK(KS)	25		SEDGWICK	KS	25		KS	SEDGWICK-KS	20173	FALSE	0	
WASHINGTON(AR)	25		WASHINGTON	AR	25		AR	WASHINGTON-AR	05143	FALSE	0	
BAY(FL)	24		BAY	FL	24		FL	BAY-FL	12005	FALSE	0	
CHOCTAW(MS)	24		CHOCTAW	MS	24		MS	CHOCTAW-MS	28019	FALSE	0	
FRANKLIN(IL)	24		FRANKLIN	IL	24		IL	FRANKLIN-IL	17055	FALSE	0	
FRANKLIN(KY)	24		FRANKLIN	KY	24		KY	FRANKLIN-KY	21073	FALSE	0	
HENRY(IN)	24		HENRY	IN	24		IN	HENRY-IN	18065	FALSE	0	
PIERCE(WA)	24		PIERCE	WA	24		WA	PIERCE-WA	53053	FALSE	0	
SALT LAKE(UT)	24		SALT LAKE	UT	24		UT	SALT LAKE-UT	49035	FALSE	0	
WAYNE(MS)	24		WAYNE	MS	24		MS	WAYNE-MS	28153	FALSE	0	
WHITLEY(IN)	24		WHITLEY	IN	24		IN	WHITLEY-IN	18183	FALSE	0	
ALLEGHENY(PA)	23		ALLEGHENY	PA	23		PA	ALLEGHENY-PA	42003	FALSE	0	
CALHOUN(MI)	23		CALHOUN	MI	23		MI	CALHOUN-MI	26025	FALSE	0	
CLERMONT(OH)	23		CLERMONT	OH	23		OH	CLERMONT-OH	39025	FALSE	0	
COLBERT(AL)	23		COLBERT	AL	23		AL	COLBERT-AL	01033	FALSE	0	
LAKE(OH)	23		LAKE	OH	23		OH	LAKE-OH	39085	FALSE	0	
MADISON(KY)	23		MADISON	KY	23		KY	MADISON-KY	21151	FALSE	0	
MURRAY(GA)	23		MURRAY	GA	23		GA	MURRAY-GA	13213	FALSE	0	
TRAVIS(TX)	23		TRAVIS	TX	23		TX	TRAVIS-TX	48453	FALSE	0	
WOOD(WI)	23		WOOD	WI	23		WI	WOOD-WI	55141	FALSE	0	
BELL(KY)	22		BELL	KY	22		KY	BELL-KY	21013	FALSE	0	
CABELL(WV)	22		CABELL	WV	22		WV	CABELL-WV	54011	FALSE	0	
DES MOINES(IA)	22		DES MOINES	IA	22		IA	DES MOINES-IA	19057	FALSE	0	
GREENE(MO)	22		GREENE	MO	22		MO	GREENE-MO	29077	FALSE	0	
KNOX(IN)	22		KNOX	IN	22		IN	KNOX-IN	18083	FALSE	0	
MONTGOMERY(TN)	22		MONTGOMERY	TN	22		TN	MONTGOMERY-TN	47125	FALSE	0	
NOBLE(IN)	22		NOBLE	IN	22		IN	NOBLE-IN	18113	FALSE	0	
POLK(FL)	22		POLK	FL	22		FL	POLK-FL	12105	FALSE	0	
SANTA CLARA(CA)	22		SANTA CLARA	CA	22		CA	SANTA CLARA-CA	06085	FALSE	0	
TANGIPAHOA(LA)	22		TANGIPAHOA	LA	22		LA	TANGIPAHOA-LA	22105	FALSE	0	
WALKER(GA)	22		WALKER	GA	22		GA	WALKER-GA	13295	FALSE	0	
YAVAPAI(AZ)	22		YAVAPAI	AZ	22		AZ	YAVAPAI-AZ	04025	FALSE	0	
ARKANSAS(AR)	21		ARKANSAS	AR	21		AR	ARKANSAS-AR	05001	FALSE	0	
COLES(IL)	21		COLES	IL	21		IL	COLES-IL	17029	FALSE	0	
COMANCHE(OK)	21		COMANCHE	OK	21		OK	COMANCHE-OK	40031	FALSE	0	
ESCAMBIA(FL)	21		ESCAMBIA	FL	21		FL	ESCAMBIA-FL	12033	FALSE	0	
FAYETTE(OH)	21		FAYETTE	OH	21		OH	FAYETTE-OH	39047	FALSE	0	
FOUNTAIN(IN)	21		FOUNTAIN	IN	21		IN	FOUNTAIN-IN	18045	FALSE	0	
HARRISON(WV)	21		HARRISON	WV	21		WV	HARRISON-WV	54033	FALSE	0	
HENRY(IL)	21		HENRY	IL	21		IL	HENRY-IL	17073	FALSE	0	
JOHNSON(IL)	21		JOHNSON	IL	21		IL	JOHNSON-IL	17087	FALSE	0	
LEE(FL)	21		LEE	FL	21		FL	LEE-FL	12071	FALSE	0	
MECKLENBURG(NC)	21		MECKLENBURG	NC	21		NC	MECKLENBURG-NC	37119	FALSE	0	
QUITMAN(MS)	21		QUITMAN	MS	21		MS	QUITMAN-MS	28119	FALSE	0	
SCOTT(MO)	21		SCOTT	MO	21		MO	SCOTT-MO	29201	FALSE	0	
SHEBOYGAN(WI)	21		SHEBOYGAN	WI	21		WI	SHEBOYGAN-WI	55117	FALSE	0	
WINNEBAGO(WI)	21		WINNEBAGO	WI	21		WI	WINNEBAGO-WI	55139	FALSE	0	
COCHISE(AZ)	20		COCHISE	AZ	20		AZ	COCHISE-AZ	04003	FALSE	0	
DALLAS(AL)	20		DALLAS	AL	20		AL	DALLAS-AL	01047	FALSE	0	
DOUGLAS(NE)	20		DOUGLAS	NE	20		NE	DOUGLAS-NE	31055	FALSE	0	
GARLAND(AR)	20		GARLAND	AR	20		AR	GARLAND-AR	05051	FALSE	0	
